NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
5;3;0.000;4.000000;5;50190.784775;40.535595;40.069530;735
5;4;0.000;4.000000;5;44770.506708;51.569202;58.478863;980
5;5;0.000;4.000000;5;42579.458344;66.272629;63.985371;1225
5;6;0.000;4.000000;5;39946.047073;84.326012;83.677147;1470
5;7;0.000;4.000000;5;37777.029303;97.873459;109.815895;1715
