NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
7;3;1.000;10.000000;5;14124.856944;12.148565;8.385667;135
7;3;2.000;12.000000;5;14005.174740;14.304538;8.403093;110
7;3;2.000;14.000000;5;13809.163136;14.625211;9.071144;90
7;3;2.000;16.000000;5;13656.476662;14.866180;9.323656;80
7;3;3.000;18.000000;5;13488.934077;16.531223;9.085356;75
7;3;3.000;20.000000;5;13405.385798;15.230730;8.539904;60
