NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
7;3;1.000;10.000000;5;14460.931441;34.942677;37.459496;135
7;3;2.000;12.000000;5;14256.773554;35.206001;27.010767;120
7;3;2.000;14.000000;5;14091.060871;38.212502;37.514267;105
7;3;2.000;16.000000;5;13891.463874;36.877666;32.318123;90
7;3;3.000;18.000000;5;13755.989415;36.877666;32.318123;75
7;3;3.000;20.000000;5;13642.303097;36.881664;29.255625;60
