NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
7;3;0.000;5.000000;5;15854.843858;37.468834;40.640854;285
7;3;1.000;6.000000;5;15384.771019;37.375755;38.217236;240
7;3;1.000;7.000000;5;15086.988230;37.318851;41.095451;210
7;3;1.000;8.000000;5;14789.932465;35.714165;44.514427;180
7;3;1.000;9.000000;5;14694.767093;35.614166;37.195221;150
7;3;1.000;10.000000;5;14460.931441;34.942677;37.459496;135
