NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;5.000000;6;34590.944695;100.904823;87.429840;1170;35;1059.811481
8;5;0.000;5.000000;6;32070.996197;102.243782;110.122215;1170;39;1281.725857
9;5;0.000;5.000000;6;30212.842556;101.920265;119.544212;1170;39;1787.127500
10;5;0.000;5.000000;6;28780.421527;100.047493;109.805138;1170;39;2100.035745
11;5;0.000;5.000000;6;27598.258973;100.484131;104.955223;1170;39;2289.474710
12;5;0.000;5.000000;6;26655.764727;100.526619;106.668121;1170;39;2399.095609
13;5;0.000;5.000000;6;25926.431842;99.771202;103.348511;1170;39;2456.286585
14;5;0.000;5.000000;6;25338.084871;98.571861;106.578087;1170;39;2478.147068
15;5;0.000;5.000000;6;24786.787823;97.299164;103.383087;1170;40;2480.066565
16;5;0.000;5.000000;6;24283.975887;97.509621;104.698814;1170;42;2479.851639
17;5;0.000;5.000000;6;23841.931905;97.019104;93.348183;1170;44;2479.463272
18;5;0.000;5.000000;6;23426.801653;97.180611;93.339897;1170;46;2478.905849
19;5;0.000;5.000000;6;23076.847414;97.358788;93.290314;1170;46;2463.335370
20;5;0.000;5.000000;6;22736.108295;97.082329;93.241119;1170;46;2440.320704
