NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
5;5;0.000;4.000000;5;46180.061246;28.483810;32.270027;1225
5;5;0.000;5.000000;5;44324.012159;23.677917;24.045639;975
5;5;0.000;6.000000;5;42333.731843;24.106922;20.842512;825
5;5;0.000;7.000000;5;40652.840380;25.393351;25.858572;700
5;5;0.000;8.000000;5;38781.466609;24.646513;25.997784;600
5;5;0.000;9.000000;5;37255.495816;25.098726;21.502691;550
5;5;1.000;10.000000;5;36067.087618;14.471449;8.936743;475
