NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
5;5;0.000;4.000000;5;42511.390281;65.841515;71.584641;1225
5;5;0.000;5.000000;5;39754.272529;67.224884;62.442871;975
5;5;0.000;6.000000;5;37581.109779;72.960922;64.382339;825
5;5;0.000;7.000000;5;35923.336027;75.014015;67.715096;700
5;5;0.000;8.000000;5;34229.808641;75.233925;77.639793;600
5;5;0.000;9.000000;5;32888.566923;75.730545;81.977570;550
5;5;1.000;10.000000;5;31960.856186;75.089485;75.645874;475
