NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
5;5;0.000;4.000000;5;42579.458344;66.272629;63.985371;1225
5;5;0.000;5.000000;5;39807.939022;69.706322;46.743530;975
5;5;0.000;6.000000;5;37011.054984;75.141808;77.943314;825
5;5;0.000;7.000000;5;34950.365579;73.705368;66.109428;700
5;5;0.000;8.000000;5;33360.277479;73.645454;62.808678;600
5;5;0.000;9.000000;5;32080.338759;71.889137;83.879654;550
5;5;1.000;10.000000;5;31047.389222;69.713470;77.761482;475
