NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
5;5;0.000;4.000000;5;43298.296373;65.655319;66.703751;1225
5;5;0.000;5.000000;5;40735.365437;73.289406;62.252159;975
5;5;0.000;6.000000;5;38414.763389;76.898331;77.880226;825
5;5;0.000;7.000000;5;36407.424298;78.004364;75.664330;700
5;5;0.000;8.000000;5;35030.618193;78.609322;63.588978;600
5;5;0.000;9.000000;5;33878.907345;77.522430;77.829674;550
5;5;1.000;10.000000;5;32936.810067;76.814011;75.945992;475
