NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
10;5;0.000;5.000000;5;30640.920088;76.663994;70.251488;975;22;2368.612399
10;6;0.000;5.000000;5;29209.062597;89.424126;89.970970;1170;24;2280.750724
10;7;0.000;5.000000;5;27935.695844;101.443787;106.007751;1365;27;2242.227330
10;8;0.000;5.000000;5;26950.397209;112.112183;116.005905;1560;30;2214.638540
10;9;0.000;5.000000;5;26066.519852;122.920387;126.006973;1755;33;2187.077007
10;10;0.000;5.000000;5;25305.207069;133.268372;134.007034;1950;35;2138.988342
10;11;0.000;5.000000;5;24627.532215;147.308929;146.011002;2145;39;2151.755766
10;12;0.000;5.000000;5;23991.564070;145.477600;145.008743;2340;39;2048.472898
10;13;0.000;5.000000;5;23407.396894;139.274872;140.003342;2535;39;1947.618963
10;14;0.000;5.000000;5;22926.881766;146.329926;146.669800;2730;39;1858.469056
10;15;0.000;5.000000;5;22482.257854;155.923676;153.336670;2925;39;1772.948605
10;16;0.000;5.000000;5;22094.144797;169.199341;166.671677;3120;39;1693.352258
10;17;0.000;5.000000;5;21752.512731;179.270645;176.671677;3315;39;1614.673410
10;18;0.000;5.000000;5;21445.957122;182.779495;180.007507;3510;39;1547.039730
10;19;0.000;5.000000;5;21183.072755;182.748337;180.000000;3705;39;1485.865049
10;20;0.000;5.000000;5;20937.976936;182.541672;180.005005;3900;39;1430.854434
