NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
10;5;0.000;5.000000;5;34626.760551;26.458715;25.876431;975;28;2439.044973
10;6;0.000;5.000000;5;33496.745578;29.988806;26.060944;1170;32;2473.184222
10;7;0.000;5.000000;5;32446.275589;33.387123;30.018265;1365;35;2451.582955
10;8;0.000;5.000000;5;31875.036414;37.205154;35.993694;1560;40;2451.784480
10;9;0.000;5.000000;5;30882.470545;39.087006;36.001060;1755;43;2428.285336
10;10;0.000;5.000000;5;30554.722614;43.550362;41.996010;1950;47;2419.323493
10;11;0.000;5.000000;5;30388.736976;48.000477;46.000671;2145;50;2395.454850
10;12;0.000;5.000000;5;29835.259079;50.607155;48.003513;2340;54;2388.546396
10;13;0.000;5.000000;5;29572.671504;54.701607;51.978302;2535;57;2367.914892
10;14;0.000;5.000000;5;29219.157589;57.953316;55.987537;2730;63;2389.553644
10;15;0.000;5.000000;5;29008.076216;61.894775;57.975166;2925;67;2384.777017
10;16;0.000;5.000000;5;28755.351279;65.551689;63.958748;3120;69;2355.519311
10;17;0.000;5.000000;5;28454.864390;68.666039;64.000809;3315;72;2339.512574
10;18;0.000;5.000000;5;28214.498017;72.219215;72.000732;3510;76;2336.864863
10;19;0.000;5.000000;5;27998.241953;75.536827;73.983078;3705;79;2322.099965
10;20;0.000;5.000000;5;27749.606594;78.703239;76.001083;3900;82;2311.429263
